Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Surface,Male,40,3.1,10.1,7.8,12.7,4.1
Surface,Female,36,2.8,9.1,7.1,11.6,3.4
Surface,Female,38,2.7,9.3,7.5,12.7,3.7
Surface,Female,37,2.8,9.8,7.6,12.2,3.7
Surface,Female,39,3.0,10.4,7.7,12.3,4.1
Surface,Male,30,2.8,9.3,7.1,10.2,4.2
Surface,Male,32,2.4,8.1,5.9,10.2,3.4
Surface,Male,31,2.4,7.4,5.4,10.0,2.7
Surface,Male,36,2.6,8.5,6.1,11.4,2.8
Surface,Female,47,3.1,10.7,8.5,15.1,4.8
Surface,Female,45,3.6,10.8,9.1,14.6,5.0
Surface,Female,35,2.9,8.9,7.1,11.5,3.8
Surface,Male,27,2.8,9.0,6.4,9.5,4.1
Surface,Male,22,2.3,7.1,5.2,7.2,3.4
Surface,Male,34,3.1,11.0,7.6,11.6,4.6
Surface,Male,23,2.4,7.4,5.2,7.7,2.9
Surface,Male,23,2.1,7.4,5.4,7.3,3.5
Surface,Male,26,2.8,8.3,6.6,8.6,3.4
Surface,Female,46,3.1,11.4,8.6,15.0,4.6
Surface,Male,27,2.6,8.7,6.2,9.3,3.8
Surface,Male,27,3.0,8.1,6.2,9.2,3.8
Surface,Male,22,2.3,7.1,5.4,7.3,2.9
Surface,Male,24,2.9,8.2,5.6,8.4,3.6
Surface,Male,24,2.7,7.8,5.6,7.7,3.5
Surface,Male,24,2.8,7.5,5.8,7.8,3.3
Surface,Female,39,3.4,11.5,9.7,13.1,5.2
Surface,Female,42,3.2,10.3,8.3,14.2,4.2
Surface,Female,30,3.2,9.2,8.0,9.7,4.9
Surface,Female,32,3.1,10.3,9.0,11.1,5.3
Surface,Female,25,2.8,8.2,6.6,8.7,3.7
Surface,Female,31,3.3,10.1,8.4,10.3,4.5
Surface,Female,29,2.9,9.8,7.6,9.1,4.4
Surface,Female,31,3.3,10.2,7.9,10.4,4.6
Surface,Female,39,3.6,13.3,10.0,12.5,5.2
Surface,Female,25,3.0,8.4,6.4,8.2,3.8
Surface,Male,44,3.3,10.8,7.6,14.1,3.9
Surface,Female,29,3.0,10.6,8.3,9.7,4.2
Surface,Female,35,3.3,11.3,8.9,11.2,4.8
Surface,Female,36,2.9,11.4,8.5,12.1,4.7
Surface,Female,28,3.1,9.5,7.6,9.0,3.9
Surface,Female,27,3.2,9.5,6.8,8.8,4.4
Surface,Female,32,3.3,10.8,8.4,10.8,4.7
Surface,Female,32,3.1,10.4,7.7,10.6,4.5
Surface,Male,39,3.1,9.6,6.9,12.5,3.9
Surface,Female,28,3.0,9.6,7.6,9.4,4.5
Surface,Female,23,2.5,8.3,6.3,8.2,3.7
Surface,Male,35,2.2,7.8,6.0,12.1,3.2
Surface,Male,29,2.5,8.8,6.5,9.5,3.2
Surface,Female,38,3.0,8.8,6.1,12.0,3.7
Surface,Male,28,2.4,6.9,4.7,9.2,2.9
Surface,Female,41,2.5,9.0,6.5,13.7,3.8
Surface,Female,35,2.7,8.7,6.4,11.4,3.1
Surface,Male,33,2.3,7.3,5.2,10.5,2.9
Surface,Male,34,2.7,7.5,4.9,11.4,3.2
Surface,Female,25,1.9,6.5,4.4,8.7,2.1
Surface,Male,32,2.6,7.7,5.5,10.8,2.9
Surface,Female,43,2.9,10.0,8.0,13.7,4.3
Surface,Female,42,3.8,12.1,9.0,14.1,5.8
Surface,Female,33,3.2,9.7,7.6,11.1,4.6
Surface,Female,29,3.0,9.6,6.7,9.8,4.3
Surface,Female,33,3.4,10.1,7.3,10.3,4.4
Surface,Female,30,3.3,10.7,7.5,9.9,4.2
Surface,Female,32,3.4,9.9,7.1,10.3,4.7
Surface,Female,30,3.0,9.0,6.9,10.0,3.8
Surface,Female,31,3.1,9.3,7.0,10.1,4.3
Surface,Female,28,2.8,8.7,6.3,9.4,3.7
Surface,Female,29,2.9,9.4,6.9,9.6,4.1
Surface,Female,29,3.2,9.6,7.4,9.6,4.3
Surface,Female,26,2.8,7.9,6.2,8.9,3.7
Surface,Female,25,2.2,6.9,4.8,8.0,2.2
Surface,Female,26,2.8,8.4,6.5,8.7,3.3
Surface,Female,27,2.9,8.9,6.0,8.8,3.8
Surface,Female,27,3.0,8.7,6.1,9.2,3.3
Surface,Male,31,3.0,9.5,6.9,10.7,4.1
Surface,Female,30,3.0,9.5,6.9,10.3,4.1
Surface,Female,26,2.7,8.6,6.1,8.9,3.8
Surface,Female,29,2.9,9.1,7.0,9.2,4.3
Surface,Male,31,3.0,9.7,6.7,10.2,4.6
